"﻿ACTION_HAPPENING","Nie mogę robić dwóch rzeczy jednocześnie..."
"ADD_TO_BLUEPRINT","Dodaj {0} do {1}"
"BY_AUTHOR","{0}"
"AVAILABLE","Dostępne"
"BLUEPRINT_FULL","{1} ma już wystarczająco: {0}"
"BLUEPRINT_RESEARCH_TAB","Badania"
"BLUEPRINT_SHOP","Sklep"
"BLUEPRINT_UNLOCKED","Odkryto nowy schemat!"
"BOOKMARK_NOT_FOUND","Brakuje tutaj: {0}"
"BOOKMARK_TITLE_WITH_LIQUID","{0} ({1})"
"BUILD","Buduj"
"BUILT","Zbudowano"
"BUY_TO_CONTINUE","Gratulacje przeżycia {0} dni!"
"CANCEL","Anuluj"
"CANNOT_AFFORD","Nie stać cię na ten zakup. Brakuje: {0}"
"CANNOT_EQUIP_MORE","Nie można założyć więcej niż {0}: {1}"
"CANNOT_EQUIP_PINS","Przypinki nie służą do zakładania!"
"CANNOT_INSPECT","Aby zbadać przedmiot, najpierw wyjmij go z pojemnika."
"CANNOT_MAKE_BLUEPRINT","Nie można tutaj zrobić: {0}"
"CHARACTER","Postać"
"CHARACTER_CREATOR","Stwórz nową postać"
"CLEAR_CARD_FILTERS","Wyczyść filtry"
"CONFIRM","Potwierdź"
"CONFIRM_RESEARCH_SWITCH","Obecnie badasz: {0}\nZmienić cel badań na: {1}?\n(Zachowasz postęp badań nad: {0})"
"COOKING_TIME_TEXT","Gotowe za {0}"
"CURRENT_STATUS","Bieżący stan"
"CUSTOM_CHARACTERS","Postacie niestandardowe"
"CUSTOM_PORTRAIT_COUNT","Domyślna rozdzielczość portretów to 344x446\n Zapisano {0}/{1} portretów"
"DAMAGES","Uszkodzenia"
"DAY_COUNTER","Dzień {0}"
"FORMAT_DAYS","0d"
"DAYS_SURVIVED","Udało się przeżyć {0} dni."
"DEFAULT","Domyślne"
"DEFAULT_CHARACTER","Domyślna postać"
"COOKING_SLOT","PRZECIĄGNIJ TUTAJ PRZEDMIOTY DO UGOTOWANIA"
"EMPTY_RECIPE_SLOT","WRÓĆ PÓŹNIEJ"
"FUEL_FULL","Napełniono: {0}"
"FUEL_ZERO","Brak paliwa: {0}"
"INVENTORY_SLOT","PRZECIĄGNIJ TUTAJ PRZEDMIOTY"
"PROGRESS_FULL","Zakończono: {0}"
"PROGRESS_ZERO","Wyczerpano: {0}"
"SPOILAGE_FULL","Jak nowe: {0}"
"SPOILAGE_ZERO","Zepsute: {0}"
"USAGE_FULL","Jak nowe: {0}"
"USAGE_ZERO","Zepsute: {0}"
"DEMO_OVER","KONIEC WERSJI DEMO (PIERWSZE DNI)"
"DIFFICULTY_SCORE","Poziom trudności: {0}pkt"
"DISCARD_ACTION_DESC","Permanentnie pozbądź się tego obiektu."
"DISCARD_ACTION_TITLE","Odrzuć"
"DISMANTLE_DESC","Zbierz wszystkie przedmioty i wróć do poprzedniego etapu budowy."
"DISMANTLE_DESC_FIRST_STEP","Zbierz wszystkie przedmioty i usuń tworzenie przedmiotu."
"DURATION","Czas trwania"
"EMPTY","Puste"
"NO_CHARACTER_BIO","Nie pamiętasz niczego sprzed trafienia na wyspę..."
"EQUIP_CARD","Załóż: {0}"
"EQUIPMENT","Ekwipunek"
"EVENT_TITLE","WYDARZENIE"
"EXPLORATION","Eksploracja"
"EXPLORED","Zwiedzono"
"EXPLORING","Przeszukiwanie"
"FILL_WITH_LIQUID","Napełnij {0}: {1}"
"FINISHED_COOKING","{0} - koniec gotowania: {1}"
"FINISHED_COOKING_EMPTY","{0} jest gotowe"
"GAME_OVER","KONIEC GRY"
"PLACEHOLDER_DISCLAIMER","{0}\n\n<b>-Powyższy tekst jest tymczasowy-</b>"
"HOLD_FOR_ACTION","Przytrzymaj, aby wykonać akcję..."
"HOLD","Przytrzymaj"
"HOPE_GOOD_TIME","Mamy nadzieję, że gra sprawiła Ci przyjemność!"
"FORMAT_HOURS","0h"
"HOVER","Najedź"
"IMPORT_PORTRAIT","Importuj własny portret"
"IMPOSSIBLE_ACTION","Nie mogę tego teraz zrobić..."
"IMPROVEMENT_DESC","Na karcie - {0}, aby uzyskać informacje"
"IMPROVEMENTS","Ulepszenia"
"INSPECTION_TITLE","SZCZEGÓŁY"
"INVENTORY_CANNOT_CARRY","{0} nie ma na to miejsca..."
"INVENTORY_FULL","ekwipunek jest pełny"
"IS_NOT_EQUIPMENT","Nie da się wyposażyć: {0}"
"JOURNAL_SUBTITLE_NAME","{0} opowieść o {2}\n({1})"
"LIQUID_AUTO_FILLING","Napełnianie {0}"
"LIQUID_CONTAINER_EMPTY","{0} jest pusty"
"LIQUID_TRANSFER","Przelej płyn"
"LOAD","Ładuj"
"LOADING","ŁADOWANIE"
"FORMAT_MINUTES","0min"
"MISSING_CARD_INHAND","Brakuje w ręce: {0}"
"MISSING_CARD_ONBOARD","Brakuje: {0}"
"MOVE_ITEM_TO_LOCATION","Przenieś: {0} do {1}"
"NEW_BLUEPRINT","Nowy schemat"
"NEW_DAMAGE","Coś zostało uszkodzone!"
"NEW_IMPROVEMENT","Nowe usprawnienie"
"NO_DAMAGES","Brak uszkodzeń do naprawy"
"NO_IMPROVEMENTS","Brak odblokowanych usprawnień"
"NONE","Brak"
"OFFICIAL_CHARACTERS","Gotowe postacie"
"PAUSED","Zatrzymano"
"PLAYER_CANNOT_CARRY","To więcej niż mogę unieść..."
"RESEARCH","Badania"
"RESEARCHING","Badanie..."
"RESUME","Wznów"
"SAFETY_MODE","Tryb bezpieczny"
"SAVE","Zapisz"
"SAVE_NEW_GAME","Zapisz nową grę"
"SELECT_CHARACTER","WYBIERZ POSTAĆ"
"SELECTED_CARDS","Wybrane karty"
"SLOT","Zapis"
"START_BUILDING","Rozpocznij budowę"
"STAT_INFLUENCES","Pod wpływem"
"INVENTORY_STORE","Przechowaj wewnątrz"
"SUCCESS_CHANCE","Sukces"
"SURVIVAL_BONUS","Premia za przetrwanie"
"TIME_IS_BETWEEN","Jest między {0} a {1}"
"TIP","Porada"
"TRANSFER_TO_LOCATION","Przenieś przedmiot"
"TRASH_CONFIRM","Wyrzucić: {0}?"
"DEMO_UNAVAILABLE","Tylko w pełnej wersji"
"UNKNOWN_AUTHOR","Nieznany autor"
"TO_UNLOCK","Aby odblokować:"
"VICTORY","UDAŁO SIĘ PRZETRWAĆ!"
"VICTORY_BONUS","Premia za zwycięstwo"
"WOUNDS","Rany"
"HELP","Pomoc"
"OBJECTIVE_COMPLETE","ZADANIE UKOŃCZONE"
"FONT_STYLE","Styl czcionki"
"AMBIENCE","Dźwięki tła"
"SFX","Efekty dźwiękowe"
"CUSTOMIZE_UI","Dostosuj interfejs użytkownika (Wkrótce)"
"INTERFACE","INTERFEJS"
"VOLUME","GŁOŚNOŚĆ"
"MISC","RÓŻNE"
"RESET_GAME","Zresetuj grę"
"REVERT_OPTIONS","Przywróć domyślne ustawienia"
"VISUAL_EFFECTS","Efekty graficzne"
"VSYNC","VSync"
"NO","Nie"
"YES","Tak"
"FULLSCREEN","Pełny ekran"
"DISPLAY","WYŚWIETLACZ"
"SCROLL_SENSITIVITY","Czułość przewijania"
"APPLY","Zastosuj"
"RESOLUTION","Rozdzielczość"
"RESET_GAME_CONFIRM","Spowoduje to usunięcie wszystkich postępów, własnych postaci, odblokowanych modyfikatorów oraz zresetowanie opcji.\nZresetować grę?"
"OPTIONS_MENU_TITLE","OPCJE"
"CONFIRM_DELETE_SLOT","Usunąć ten zapis?"
"GAMEMODE_LIST","TRYBY GRY"
"EASY_MODE_TITLE","TRYB ŁATWY"
"CARD_INSPECTION_TITLE","SZCZEGÓŁY"
"PURCHASE","Odblokuj"
"MIDJOURNEY","Portrety stworzone przy użyciu MidJourney"
"SAVE_CHARACTER","Zapisz postać"
"SAFE_MODE","Tryb bezpieczny"
"SAVEFILE_WRITING_ERROR","Wygląda na to, że wystąpił błąd podczas próby zapisania gry.\n\nNiestety oznacza to, że bieżąca gra nie może zostać zapisana. Jeśli otworzyłeś plik zapisu w innym programie, może to być przyczyną błędu, zamknij ten program i spróbuj zapisać ponownie.\n\nJeśli tak nie jest i ta wiadomość nadal się pojawia, powiadom nas na forach Steam i prześlij plik Player.log na adres winterspringgames@gmail.com. Przepraszamy za niedogodności."
"EQUIPPED_PERKS","Wybrane modyfikatory"
"CREATE_CHARACTER_DESC","Dostosuj grę do swoich potrzeb, tworząc własną postać"
"DONT_REMIND_EASY_PACKAGE","Tak, przestań mi przypominać"
"SPECIAL_THANKS","Szczególne podziękowania dla:"
"SELECT_A_PERK","Wybierz modyfikator"
"EXIT_CHARACTER_WITHOUT_SAVING","Wyjść bez zapisywania?"
"STARTING_CONDITIONS","Warunki początkowe"
"EXIT_CHARACTER_WITHOUT_NAME","Proszę podać imię dla postaci"
"START_GAME_BUTTON","ROZPOCZNIJ GRĘ"
"CREATE_NEW_CHARACTER","STWÓRZ NOWĄ POSTAĆ"
"OK","OK"
"DELETING_PORTRAIT","USUWANIE PORTRETU..."
"ALLOWED_CHARACTERS","Dozwolone postacie"
"OUR_PATRONS","Nasi wspierający na Patreon:"
"LOADING_PORTRAITS","ŁADOWANIE PORTRETÓW..."
"SELECT_GAMEMODE","NOWA GRA - WYBIERZ TRYB"
"DELETE_CONFIRM","Czy na pewno chcesz usunąć?\n"
"QUIT_CONFIRM_MENU","Zakończyć grę?"
"OUR_OTHER_GAMES","Nasze inne gry"
"EASY_PACKAGE_TOGGLE","Tryb łatwy"
"DEMO_SAVEWRITING_WARNING","<b>WAŻNA UWAGA:</b>\nTWÓJ POSTĘP NIE ZOSTANIE ZAPISANY\n\n""Pierwsze dni"" nie mogą zapisać postępu w plikach zapisu utworzonych przez pełną wersję gry."
"CANCEL_EASY_PACKAGE","Anuluj"
"EASY_PACKAGE_DESC","Card Survival jest zaprojektowane tak, aby stanowiło wyzwanie i nie wybaczało błędów.\n\nTryb łatwy zapewnia podstawowe zaopatrzenie, dzięki czemu masz więcej czasu na naukę i trening."
"GAME_BY","Od WinterSpring Games:"
"INFO_AND_NEWS","INFO & NOWOŚCI"
"IMPORTING_PORTRAIT","IMPORTOWANIE WŁASNEGO PORTRETU..."
"ENTER_NAME","WPROWADŹ IMIĘ"
"SELECT_GAME","WYBIERZ GRĘ"
"NEXT","DALEJ"
"DELETE_PORTRAIT_CONFIRM","Usunąć portret?"
"ENTER_BIO","Wprowadź opis postaci"
"PLAY","GRAJ"
"CHARACTERS","POSTACIE"
"BOUGHT","Odblokowane"
"MOONS_TITLE","Księżyce"
"MOONS_DESC","Zdobywasz jeden księżyc za każde 30 dni przetrwania"
"SAFETY_MODE_TITLE","Tryb bezpieczny"
"SAFETY_MODE_DESC","Pozwala na restart dnia z menu lub po śmierci."
"SUNS_TITLE","Słońca"
"SUNS_DESC","Zdobywasz jedno słońce za każdy dzień przetrwania"
"CANCEL_ACTION","ANULUJ"
